KEY_benef_loc,match_score,KEY_inegi_localidad
azoyu-los chegues,100,azoyu-los chegues
tecoanapa-mecatepec,100,tecoanapa-mecatepec
teloloapan-tlajocotla (la hacienda),100,teloloapan-tlajocotla (la hacienda)
teloloapan-teloloapan,100,teloloapan-teloloapan
tecoanapa-los sauces,100,tecoanapa-los sauces
tecoanapa-xalpatlahuac,100,tecoanapa-xalpatlahuac
tecoanapa-villa hermosa,100,tecoanapa-villa hermosa
teloloapan-oxtotitlan,100,teloloapan-oxtotitlan
san miguel totolapan-san antonio de la gavia,100,san miguel totolapan-san antonio de la gavia
coyuca de catalan-los terrones,100,coyuca de catalan-los terrones
la union de isidoro montes de oca-la union,100,la union de isidoro montes de oca-la union
san miguel totolapan-san miguel totolapan,100,san miguel totolapan-san miguel totolapan
martir de cuilapan-xicomulco,100,martir de cuilapan-xicomulco
tlalchapa-el charco,100,tlalchapa-el charco
san miguel totolapan-el remance,100,san miguel totolapan-el remance
chilpancingo de los bravo-inscuinatoyac (el pueblito),100,chilpancingo de los bravo-inscuinatoyac (el pueblito)
teloloapan-tenancingo,100,teloloapan-tenancingo
teloloapan-el capire,100,teloloapan-el capire
ayutla de los libres-ayutla de los libres,100,ayutla de los libres-ayutla de los libres
zitlala-viramontes,100,zitlala-viramontes
teloloapan-los sauces,100,teloloapan-los sauces
san miguel totolapan-agua escondida (descombro),100,san miguel totolapan-agua escondida (descombro)
petatlan-petatlan,100,petatlan-petatlan
olinala-tepetitlan,100,olinala-tepetitlan
teloloapan-zopiloal,100,teloloapan-zopiloal
juan r. escudero-chacalapa de bravos,100,juan r. escudero-chacalapa de bravos
tecoanapa-buenavista de allende (buenavista),95,tecoanapa-buenavista de allende
tecoanapa-huamuchapa,100,tecoanapa-huamuchapa
tecoanapa-la estrella,100,tecoanapa-la estrella
teloloapan-tehuixtla,100,teloloapan-tehuixtla
teloloapan-la maravilla,100,teloloapan-la maravilla
teloloapan-miahuatepec,100,teloloapan-miahuatepec
san miguel totolapan-santa fe,100,san miguel totolapan-santa fe
teloloapan-chipilatengo,100,teloloapan-chipilatengo
teloloapan-la magdalena,100,teloloapan-la magdalena
tecoanapa-el guayabo,100,tecoanapa-el guayabo
general heliodoro castillo-huerta vieja,100,general heliodoro castillo-huerta vieja
leonardo bravo-polixtepec,100,leonardo bravo-polixtepec
chilpancingo de los bravo-rio verde,100,chilpancingo de los bravo-rio verde
ometepec-cumbre de barranca honda,100,ometepec-cumbre de barranca honda
general heliodoro castillo-verde rico (huerto de verde rico),100,general heliodoro castillo-verde rico (huerto de verde rico)
azoyu-arcelia del progreso,100,azoyu-arcelia del progreso
juan r. escudero-el tabacal,100,juan r. escudero-el tabacal
acatepec-barranca pobre,100,acatepec-barranca pobre
alcozauca de guerrero-melchor ocampo,100,alcozauca de guerrero-melchor ocampo
tixtla de guerrero-acatempa,100,tixtla de guerrero-acatempa
tlapehuala-morelita,100,tlapehuala-morelita
chilapa de alvarez-el jaguey,100,chilapa de alvarez-el jaguey
ayutla de los libres-ahuacachahue (ndog'yo itun tichi),95,ayutla de los libres-ayutla de los libres
ometepec-zacoalpan,100,ometepec-zacoalpan
ayutla de los libres-el rosario,100,ayutla de los libres-el rosario
zirandaro-cuambio,100,zirandaro-cuambio
acapulco de juarez-amatillo,100,acapulco de juarez-amatillo
atoyac de alvarez-san martin de las flores,100,atoyac de alvarez-san martin de las flores
coyuca de benitez-tixtlancingo,100,coyuca de benitez-tixtlancingo
huitzuco de los figueroa-tuliman,100,huitzuco de los figueroa-tuliman
ajuchitlan del progreso-zacahuaje,100,ajuchitlan del progreso-zacahuaje
acapulco de juarez-san isidro gallinero (el gallinero),100,acapulco de juarez-san isidro gallinero (el gallinero)
ajuchitlan del progreso-ajuchitlan del progreso,100,ajuchitlan del progreso-ajuchitlan del progreso
chilapa de alvarez-axopilco,100,chilapa de alvarez-axopilco
acapulco de juarez-sabanillas,100,acapulco de juarez-sabanillas
tlapehuala-el tanque,100,tlapehuala-el tanque
tecoanapa-rancho viejo,100,tecoanapa-rancho viejo
quechultenango-ahuacatepec,100,quechultenango-ahuacatepec
