KEY_benef_mun,best_match,match_score,CVE_ENT,Entidad_inegi,CVE_MUN,Municipio_inegi,KEY_inegi_municipio
guerrero-coyuca de benitez,guerrero-coyuca de benitez,100,12,Guerrero,21,Coyuca de Benítez,guerrero-coyuca de benitez
guerrero-cutzamala de pinzon,guerrero-cutzamala de pinzon,100,12,Guerrero,27,Cutzamala de Pinzón,guerrero-cutzamala de pinzon
guerrero-arcelia,guerrero-arcelia,100,12,Guerrero,7,Arcelia,guerrero-arcelia
guerrero-tlalchapa,guerrero-tlalchapa,100,12,Guerrero,64,Tlalchapa,guerrero-tlalchapa
guerrero-ahuacuotzingo,guerrero-ahuacuotzingo,100,12,Guerrero,2,Ahuacuotzingo,guerrero-ahuacuotzingo
guerrero-tecoanapa,guerrero-tecoanapa,100,12,Guerrero,56,Tecoanapa,guerrero-tecoanapa
guerrero-atlixtac,guerrero-atlixtac,100,12,Guerrero,10,Atlixtac,guerrero-atlixtac
guerrero-tlapa de comonfort,guerrero-tlapa de comonfort,100,12,Guerrero,66,Tlapa de Comonfort,guerrero-tlapa de comonfort
guerrero-copanatoyac,guerrero-copanatoyac,100,12,Guerrero,20,Copanatoyac,guerrero-copanatoyac
puebla-san gabriel chilac,puebla-san gabriel chilac,100,21,Puebla,124,San Gabriel Chilac,puebla-san gabriel chilac
puebla-atzitzintla,puebla-atzitzintla,100,21,Puebla,23,Atzitzintla,puebla-atzitzintla
puebla-palmar de bravo,puebla-palmar de bravo,100,21,Puebla,110,Palmar de Bravo,puebla-palmar de bravo
morelos-jonacatepec,morelos-jonacatepec de leandro valle,90,17,Morelos,13,Jonacatepec de Leandro Valle,morelos-jonacatepec de leandro valle
guerrero-san marcos,guerrero-san marcos,100,12,Guerrero,53,San Marcos,guerrero-san marcos
guerrero-general canuto a. neri,guerrero-general canuto a. neri,100,12,Guerrero,31,General Canuto A. Neri,guerrero-general canuto a. neri
guerrero-tlapehuala,guerrero-tlapehuala,100,12,Guerrero,67,Tlapehuala,guerrero-tlapehuala
guerrero-coahuayutla de jose maria izazaga,guerrero-coahuayutla de jose maria izazaga,100,12,Guerrero,16,Coahuayutla de José María Izazaga,guerrero-coahuayutla de jose maria izazaga
puebla-soltepec,puebla-soltepec,100,21,Puebla,152,Soltepec,puebla-soltepec
guerrero-tecpan de galeana,guerrero-tecpan de galeana,100,12,Guerrero,57,Técpan de Galeana,guerrero-tecpan de galeana
guerrero-chilapa de alvarez,guerrero-chilapa de alvarez,100,12,Guerrero,28,Chilapa de Álvarez,guerrero-chilapa de alvarez
guerrero-zitlala,guerrero-zitlala,100,12,Guerrero,74,Zitlala,guerrero-zitlala
guerrero-teloloapan,guerrero-teloloapan,100,12,Guerrero,58,Teloloapan,guerrero-teloloapan
